country,year,index,name,renovation_generation,building_categories_index,building_category,construction_period_start,construction_period_end,number_of_dwellings_per_building,number_of_buildings,dwelling_weight,areawindows,Htr_w,effective_window_u_w_m2k,stock_window_area_m2,stock_window_htr_w_per_k,model_reference_satisfied_1_10
HUN,2025,3818,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,583.288879395,583.288879395,32.1023826599,96.3983154297,3.0028398037,18724.9628906,56228.0664062,False
HUN,2025,3819,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,197.00038147,197.00038147,32.1023826599,96.3983154297,3.0028398037,6324.18164062,18990.5058594,False
HUN,2025,3820,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,81.7173843384,81.7173843384,32.1023826599,83.0748519897,2.58780956268,2623.32275391,6788.65966797,False
HUN,2025,3821,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,629.514526367,629.514526367,32.1023826599,75.5173339844,2.35239028931,20208.9160156,47539.2578125,False
HUN,2025,3822,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,149.941131592,149.941131592,32.1023826599,75.5173339844,2.35239028931,4813.46777344,11323.1542969,False
HUN,2025,3823,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,46.1277885437,46.1277885437,32.1023826599,75.5173339844,2.35239028931,1480.81188965,3483.44750977,False
HUN,2025,3824,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,30.3601570129,30.3601570129,32.1023826599,74.169303894,2.31039881706,974.633361816,2251.79174805,False
HUN,2025,4813,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,252.607681274,252.607681274,32.1023826599,100.441772461,3.12879490852,8109.30859375,25372.3632812,False
HUN,2025,4814,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,73.0426025391,73.0426025391,32.1023826599,100.441772461,3.12879490852,2344.84155273,7336.52832031,False
HUN,2025,4815,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,24.5498027802,24.5498027802,32.1023826599,100.441772461,3.12879490852,788.107177734,2465.82568359,False
HUN,2025,4816,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,10.0330696106,10.0330696106,32.1023826599,82.8516769409,2.58085751534,322.085449219,831.256652832,False
HUN,2025,4817,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,76.5594787598,76.5594787598,32.1023826599,79.655166626,2.48128509521,2457.74169922,6098.35791016,False
HUN,2025,4818,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,18.3805141449,18.3805141449,32.1023826599,79.655166626,2.48128509521,590.058288574,1464.10290527,False
HUN,2025,4819,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,5.68413639069,5.68413639069,32.1023826599,79.6498336792,2.48111915588,182.474319458,452.740509033,False
HUN,2025,4820,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,3.53137731552,3.53137731552,32.1023826599,74.8459777832,2.33147740364,113.365623474,264.309387207,False
HUN,2025,7,SFHdh_1945_1959_Debrecen_ren7,UNKNOWN,2,SFH,1945,1959,1,74698.046875,74698.046875,32.1023826599,160.674911499,5.00507736206,2397985.25,12002102,False
HUN,2025,8,SFHdh_1945_1959_Debrecen_ren8,UNKNOWN,2,SFH,1945,1959,1,88441.3828125,88441.3828125,32.1023826599,127.913497925,3.98454833031,2839179,11312847,False
HUN,2025,9,SFHdh_1945_1959_Debrecen_ren9,UNKNOWN,2,SFH,1945,1959,1,9579.13867188,9579.13867188,32.1023826599,160.674911499,5.00507736206,307513.1875,1539127.25,False
HUN,2025,10,SFHdh_1945_1959_Debrecen_ren10,UNKNOWN,2,SFH,1945,1959,1,9215.93554688,9215.93554688,32.1023826599,127.913497925,3.98454833031,295853.5,1178842.5,False
HUN,2025,11,SFHdh_1945_1959_Debrecen_ren11,UNKNOWN,2,SFH,1945,1959,1,12483.6621094,12483.6621094,32.1023826599,69.0544509888,2.15106940269,400755.3125,862052.4375,False
HUN,2025,12,SFHdh_1945_1959_Debrecen_ren12,UNKNOWN,2,SFH,1945,1959,1,6879.64404297,6879.64404297,32.1023826599,60.0684700012,1.87115299702,220852.96875,413249.6875,False
HUN,2025,286,SFHdh_1945_1959_Debrecen_ren286,UNKNOWN,2,SFH,1945,1959,1,1703.48413086,1703.48413086,32.1023826599,71.8888549805,2.23936200142,54685.8984375,122461.523438,False
HUN,2025,287,SFHdh_1945_1959_Debrecen_ren287,UNKNOWN,2,SFH,1945,1959,1,1197.22155762,1197.22155762,32.1023826599,63.394908905,1.97477269173,38433.6640625,75897.75,False
HUN,2025,644,SFHdh_1945_1959_Debrecen_ren7,UNKNOWN,2,SFH,1945,1959,1,579.388366699,579.388366699,32.1023826599,160.674911499,5.00507736206,18599.7460938,93093.171875,False
HUN,2025,645,SFHdh_1945_1959_Debrecen_ren7,UNKNOWN,2,SFH,1945,1959,1,257.920379639,257.920379639,32.1023826599,74.6476821899,2.32530045509,8279.85839844,19253.1582031,False
HUN,2025,646,SFHdh_1945_1959_Debrecen_ren7,UNKNOWN,2,SFH,1945,1959,1,146.949325562,146.949325562,32.1023826599,108.41796875,3.37725615501,4717.42333984,15931.9472656,False
HUN,2025,647,SFHdh_1945_1959_Debrecen_ren7,UNKNOWN,2,SFH,1945,1959,1,70.764251709,70.764251709,32.1023826599,65.0667724609,2.02685189247,2271.70117188,4604.40136719,False
HUN,2025,648,SFHdh_1945_1959_Debrecen_ren8,UNKNOWN,2,SFH,1945,1959,1,761.440673828,761.440673828,32.1023826599,127.913497925,3.98454833031,24444.0605469,97398.5390625,False
HUN,2025,649,SFHdh_1945_1959_Debrecen_ren8,UNKNOWN,2,SFH,1945,1959,1,253.099472046,253.099472046,32.1023826599,66.9885406494,2.08671545982,8125.09619141,16954.7636719,False
HUN,2025,650,SFHdh_1945_1959_Debrecen_ren8,UNKNOWN,2,SFH,1945,1959,1,156.621627808,156.621627808,32.1023826599,86.1970901489,2.68506836891,5027.92724609,13500.328125,False
HUN,2025,651,SFHdh_1945_1959_Debrecen_ren8,UNKNOWN,2,SFH,1945,1959,1,51.5003662109,51.5003662109,32.1023826599,60.3741149902,1.88067400455,1653.28442383,3109.2890625,False
HUN,2025,652,SFHdh_1945_1959_Debrecen_ren9,UNKNOWN,2,SFH,1945,1959,1,85.3559036255,85.3559036255,32.1023826599,160.674911499,5.00507736206,2740.12792969,13714.5527344,False
HUN,2025,653,SFHdh_1945_1959_Debrecen_ren9,UNKNOWN,2,SFH,1945,1959,1,36.2200737,36.2200737,32.1023826599,74.6476821899,2.32530045509,1162.75061035,2703.74462891,False
HUN,2025,654,SFHdh_1945_1959_Debrecen_ren9,UNKNOWN,2,SFH,1945,1959,1,20.6345996857,20.6345996857,32.1023826599,108.41796875,3.37725615501,662.419799805,2237.16137695,False
HUN,2025,655,SFHdh_1945_1959_Debrecen_ren9,UNKNOWN,2,SFH,1945,1959,1,9.10328865051,9.10328865051,32.1023826599,65.0667724609,2.02685189247,292.237243652,592.321594238,False
HUN,2025,656,SFHdh_1945_1959_Debrecen_ren10,UNKNOWN,2,SFH,1945,1959,1,91.1164245605,91.1164245605,32.1023826599,127.913497925,3.98454833031,2925.05444336,11655.0205078,False
HUN,2025,657,SFHdh_1945_1959_Debrecen_ren10,UNKNOWN,2,SFH,1945,1959,1,30.0753097534,30.0753097534,32.1023826599,66.9885406494,2.08671545982,965.489074707,2014.7010498,False
HUN,2025,658,SFHdh_1945_1959_Debrecen_ren10,UNKNOWN,2,SFH,1945,1959,1,18.6349411011,18.6349411011,32.1023826599,86.1970901489,2.68506836891,598.226013184,1606.27770996,False
HUN,2025,659,SFHdh_1945_1959_Debrecen_ren10,UNKNOWN,2,SFH,1945,1959,1,5.85615158081,5.85615158081,32.1023826599,60.3741149902,1.88067400455,187.996414185,353.559967041,False
HUN,2025,660,SFHdh_1945_1959_Debrecen_ren11,UNKNOWN,2,SFH,1945,1959,1,246.291564941,246.291564941,32.1023826599,69.0544509888,2.15106940269,7906.54589844,17007.5292969,False
HUN,2025,661,SFHdh_1945_1959_Debrecen_ren11,UNKNOWN,2,SFH,1945,1959,1,53.5136299133,53.5136299133,32.1023826599,69.0544509888,2.15106940269,1717.91503906,3695.35424805,False
